pitcherFirstName,pitcherLastName,f0_,seasonType,year
Keith,Hessler,87.593380614657235,REG,2016
Luis,Cessa,87.586206896551673,REG,2016
Trevor,May,87.569266589057065,REG,2016
Robert,Stephenson,87.563685636856391,REG,2016
Robert,Scahill,87.536178107606688,REG,2016
Carlos,Carrasco,87.532299741602145,REG,2016
Raul,Alcantara,87.526717557251871,REG,2016
Andrew,Miller,87.492627927146572,REG,2016
Trevor,Williams,87.4913043478261,REG,2016
Mayckol,Guaipe,87.48360655737703,REG,2016
Felix,Pena,87.4705882352941,REG,2016
Matthew,Purke,87.465671641791033,REG,2016
Daniel,Norris,87.464811783960741,REG,2016
Kendall,Graveman,87.450000000000117,REG,2016
Daniel,Barnes,87.4449152542373,REG,2016
Carson,Smith,87.4285714285714,REG,2016
James,Hoover,87.418269230769241,REG,2016
Santiago,Casilla,87.396480331262879,REG,2016
George,Farmer,87.394584139265049,REG,2016
Ariel,Miranda,87.366013071895409,REG,2016
Michael,Clevinger,87.354903943377167,REG,2016
Trevor,Bauer,87.324401913875548,REG,2016
Anthony,Zych,87.324324324324323,REG,2016
James,Johnson,87.317886932344777,REG,2016
Gavin,Floyd,87.2979166666667,REG,2016
Adam,Plutko,87.265822784810126,REG,2016
Ian,Krol,87.2564655172413,REG,2016
Chad,Qualls,87.219739292365,REG,2016
Rafael,Montero,87.202020202020222,REG,2016
Jason,Grilli,87.196296296296339,REG,2016
Hector,Neris,87.189458689458689,REG,2016
Jonathan,Holder,87.186206896551738,REG,2016
Fernando,Rodney,87.160909856781814,REG,2016
Zachary,Godley,87.091774891774918,REG,2016
Ryan,Garton,87.084985835694027,REG,2016
Glen,Perkins,87.083333333333314,REG,2016
Joakim,Soria,87.077750206782383,REG,2016
Matthew,Buschmann,87.062499999999986,REG,2016
Shawn,Kelley,87.059275521405013,REG,2016
Archie,Bradley,87.021689497716878,REG,2016
Alberto,Alburquerque,87.020833333333329,REG,2016
Colby,Cervenka,87.019280205655562,REG,2016
David,Norris,87.014050387596939,REG,2016
Matthew,Bowman,86.993524514338588,REG,2016
William,Wilson,86.993115318416471,REG,2016
Sean,Manaea,86.992297236067088,REG,2016
Luis,Guerra,86.977941176470566,REG,2016
Carson,Fulmer,86.968325791855179,REG,2016
Odrisamer,Despaigne,86.957798165137589,REG,2016
Corey,Knebel,86.948356807511757,REG,2016
Kirby,Yates,86.939172749391744,REG,2016
Leonel,Campos,86.926952141057924,REG,2016
Michael,Broadway,86.908045977011511,REG,2016
Ian,Kennedy,86.904817179338423,REG,2016
Ivan,Nova,86.893977947413092,REG,2016
Junichi,Tazawa,86.888888888888857,REG,2016
Jameson,Taillon,86.882096069869021,REG,2016
Dominic,Leone,86.863265306122457,REG,2016
Cody,Reed,86.820457018498416,REG,2016
Matthew,Moore,86.796499555028248,REG,2016
Tyler,Cravy,86.754385964912274,REG,2016
Christopher,Sale,86.752725186460168,REG,2016
Boone,Logan,86.747354497354564,REG,2016
Colton,Murray,86.733333333333363,REG,2016
Daniel,Farquhar,86.723529411764716,REG,2016
Phillip,Coke,86.721893491124248,REG,2016
Yu,Darvish,86.70577281191801,REG,2016
Bryan,Mitchell,86.695331695331717,REG,2016
Jeanmar,Gomez,86.693808312128937,REG,2016
Michael,Wacha,86.69059613769943,REG,2016
Matthew,Dermody,86.6393442622951,REG,2016
Luke,Hochevar,86.633333333333269,REG,2016
Justin,Chamberlain,86.617728531855946,REG,2016
Martin,Perez,86.600315457413259,REG,2016
Dylan,Bundy,86.599598595082739,REG,2016
Kevin,Siegrist,86.59539170506919,REG,2016
Christian,Bethancourt,86.590909090909079,REG,2016
Dayan,Diaz,86.588235294117638,REG,2016
German,Marquez,86.55742296918767,REG,2016
Vincent,Velasquez,86.557192374350151,REG,2016
Joseph,Wieland,86.556818181818187,REG,2016
Eric,O'Flaherty,86.555785123966984,REG,2016
Marc,Rzepczynski,86.555035128805628,REG,2016
Rubby,De La Rosa,86.549499443826477,REG,2016
David,Robertson,86.534514925373173,REG,2016
Jerome,Williams,86.5170068027211,REG,2016
Edubray,Ramos,86.5165876777252,REG,2016
Warwick,Saupold,86.515923566879,REG,2016
Raisel,Iglesias,86.510156250000009,REG,2016
Vance,Worley,86.507633587786245,REG,2016
Joseph,Ross,86.47169811320758,REG,2016
Matthew,Carasiti,86.468553459119491,REG,2016
Jeffrey,Locke,86.4598130841121,REG,2016
Jacob,Odorizzi,86.44197750148011,REG,2016
Luke,Weaver,86.422636103151845,REG,2016
Donald,Greinke,86.387771203155822,REG,2016
Yohan,Flande,86.387096774193552,REG,2016
Christopher,Withrow,86.375184638109275,REG,2016
Scott,Carroll,86.372093023255815,REG,2016
Bradley,Hand,86.369199731002013,REG,2016
Alex,Wimmers,86.347266881028943,REG,2016
Andrew,Chafin,86.345303867403373,REG,2016
Christopher,Stratton,86.339181286549689,REG,2016
Alexi,Ogando,86.3348909657321,REG,2016
Parker,Bridwell,86.333333333333329,REG,2016
Blake,Snell,86.3285957930643,REG,2016
Daniel,Jennings,86.323782234957008,REG,2016
Keyvius,Sampson,86.323529411764682,REG,2016
Blaine,Boyer,86.31691449814123,REG,2016
Steven,Okert,86.29411764705884,REG,2016
Jeffrey,Hoffman,86.293193717277461,REG,2016
Clayton,Kershaw,86.292972459639216,REG,2016
Roenis,Elias,86.281250000000028,REG,2016
Adam,Warren,86.260330578512352,REG,2016
Chaz,Roe,86.246887966804948,REG,2016
Brett,Cecil,86.22530329289431,REG,2016
Gabriel,Ynoa,86.199404761904773,REG,2016
Jesse,Hahn,86.1948579161028,REG,2016
Wilfredo,Boscan,86.188679245283012,REG,2016
William,Harris,86.174354243542439,REG,2016
Matthew,Magill,86.1627906976744,REG,2016
Steven,Brault,86.157121879588857,REG,2016
Christopher,Tillman,86.1558616056433,REG,2016
Colbert,Hamels,86.153478650343416,REG,2016
Carsten,Sabathia,86.1491769547325,REG,2016
Luke,Jackson,86.138888888888914,REG,2016
Carlos,Torres,86.13868613138682,REG,2016
Matthew,Strahm,86.129385964912316,REG,2016
Brian,Duensing,86.123809523809513,REG,2016
Phil,Klein,86.0918918918919,REG,2016
Christian,Bergman,86.086474501108626,REG,2016
Blake,Smith,86.07692307692308,REG,2016
Randall,Delgado,86.073646209386226,REG,2016
Jose,Leclerc,86.066666666666677,REG,2016
Adam,Conley,86.064834693001316,REG,2016
Edinson,Volquez,86.063049408911752,REG,2016
Brandon,Morrow,86.050000000000011,REG,2016
Thomas,Gorzelanny,86.041666666666671,REG,2016
Ross,Detwiler,86.016412661195787,REG,2016
Joseph,Nathan,85.9921875,REG,2016
Jacob,Lugo,85.987804878048721,REG,2016
Patrick,Corbin,85.984714400643668,REG,2016
Zac,Curtis,85.978260869565162,REG,2016
Chad,Bettis,85.963489499192292,REG,2016
George,Baumann,85.959537572254334,REG,2016
Steven,Matz,85.950738916256185,REG,2016
Matthew,Albers,85.9496248660236,REG,2016
Oliver,Drake,85.94295302013424,REG,2016
Brian,Matusz,85.941463414634143,REG,2016
Adam,Liberatore,85.9391069012179,REG,2016
Scott,Oberg,85.933184855233819,REG,2016
Jordan,Zimmermann,85.929057888762841,REG,2016
Nicholas,Vincent,85.900523560209379,REG,2016
John,Lackey,85.890463026952375,REG,2016
Brooks,Pounders,85.879844961240281,REG,2016
Frank,Herrmann,85.873287671232845,REG,2016
Erasmo,Ramirez,85.863994273443168,REG,2016
Andrew,Hayes,85.839195979899472,REG,2016
Anthony,Ranaudo,85.833860759493632,REG,2016
Aaron,Loup,85.821292775665384,REG,2016
Jarred,Cosart,85.817040358744435,REG,2016
